Feature,Importance
worst perimeter,0.133636398368374
worst area,0.12658881830097443
worst concave points,0.10688219417844262
mean concave points,0.09565741765741821
worst radius,0.09100995093281206
mean radius,0.05891018132836459
mean perimeter,0.05487521743034031
mean area,0.05047381531786562
mean concavity,0.04553677857445664
worst concavity,0.03677272078784783
area error,0.03435645533864583
mean compactness,0.018255667687582466
worst texture,0.017880648532720974
worst compactness,0.014850579133565625
worst smoothness,0.013918966566895681
mean texture,0.01384944812871406
radius error,0.01329445967165186
worst symmetry,0.00925550378644581
perimeter error,0.008111789318511075
concavity error,0.007009122329134322
worst fractal dimension,0.006844452970992805
mean smoothness,0.006652187132994172
texture error,0.005501277229682315
symmetry error,0.004781266044511317
compactness error,0.004670162667060035
mean symmetry,0.0046531311270181916
fractal dimension error,0.00417757356185187
mean fractal dimension,0.0041688296479911275
smoothness error,0.003919306636294411
concave points error,0.003505679610839905
